Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
BRISK,SIFT,7,2628,272,27.383,21.709,194,0.478
BRISK,SIFT,8,2639,266,27.699,19.468,176,0.437
BRISK,SIFT,9,2672,254,34.1,23.503,183,0.393
,,,,,,,,
ORB,BRISK,0,500,92,7.476,0.829,0,0
ORB,BRISK,1,500,102,5.506,0.937,73,0.147
ORB,BRISK,2,500,106,5.206,1.271,74,0.27
ORB,BRISK,3,500,113,5.429,0.951,79,0.177
ORB,BRISK,4,500,109,5.048,0.959,85,0.162
ORB,BRISK,5,500,125,5.066,1.045,79,0.18
ORB,BRISK,6,500,130,5.298,1.097,92,0.163
ORB,BRISK,7,500,129,5.306,1.133,90,0.203
ORB,BRISK,8,500,127,5.754,1.144,88,0.19
ORB,BRISK,9,500,128,5.421,1.095,91,0.187
,,,,,,,,
ORB,BRIEF,0,500,92,5.306,0.396,0,0
ORB,BRIEF,1,500,102,5.312,0.411,49,0.151
ORB,BRIEF,2,500,106,5.512,0.458,43,0.17
ORB,BRIEF,3,500,113,5.257,0.425,45,0.153
ORB,BRIEF,4,500,109,5.72,0.441,59,0.174
ORB,BRIEF,5,500,125,5.443,0.462,53,0.147
ORB,BRIEF,6,500,130,5.587,0.485,78,0.184
ORB,BRIEF,7,500,129,5.506,0.456,68,0.182
ORB,BRIEF,8,500,127,5.493,0.448,84,0.184
ORB,BRIEF,9,500,128,5.588,0.503,66,0.201
,,,,,,,,
ORB,ORB,0,500,92,5.351,3.722,0,0
ORB,ORB,1,500,102,5.394,3.634,67,0.162
ORB,ORB,2,500,106,5.164,3.535,70,0.156
ORB,ORB,3,500,113,5.454,3.83,72,0.193
ORB,ORB,4,500,109,5.513,3.79,84,0.169
ORB,ORB,5,500,125,5.252,3.88,91,0.161
ORB,ORB,6,500,130,5.118,3.568,101,0.172
ORB,ORB,7,500,129,5.316,3.647,92,0.208
ORB,ORB,8,500,127,5.254,4.368,93,0.187
ORB,ORB,9,500,128,5.431,3.907,93,0.197
,,,,,,,,
ORB,FREAK,0,500,92,5.265,27.522,0,0
ORB,FREAK,1,500,102,5.456,27.39,42,0.096
ORB,FREAK,2,500,106,5.02,26.769,36,0.137
ORB,FREAK,3,500,113,5.069,27.22,44,0.134
ORB,FREAK,4,500,109,4.479,27.667,47,0.139
ORB,FREAK,5,500,125,5.692,27.665,44,0.128
ORB,FREAK,6,500,130,5.082,37.731,51,0.162
ORB,FREAK,7,500,129,5.055,27.066,52,0.15
ORB,FREAK,8,500,127,5.419,27.293,48,0.167
ORB,FREAK,9,500,128,6.173,27.372,56,0.201
,,,,,,,,
ORB,AKAZE,0,0,0,0,0,0,0
ORB,AKAZE,1,0,0,0,0,0,0
ORB,AKAZE,2,0,0,0,0,0,0
ORB,AKAZE,3,0,0,0,0,0,0
ORB,AKAZE,4,0,0,0,0,0,0
ORB,AKAZE,5,0,0,0,0,0,0
ORB,AKAZE,6,0,0,0,0,0,0
ORB,AKAZE,7,0,0,0,0,0,0
ORB,AKAZE,8,0,0,0,0,0,0
ORB,AKAZE,9,0,0,0,0,0,0
,,,,,,,,
ORB,SIFT,0,500,92,6.297,31.697,0,0
ORB,SIFT,1,500,102,5.753,22.179,67,0.141
ORB,SIFT,2,500,106,5.118,20.22,79,0.11
ORB,SIFT,3,500,113,5.17,31.119,78,0.118
ORB,SIFT,4,500,109,5.136,21.056,79,0.142
ORB,SIFT,5,500,125,5.156,20.442,82,0.143
ORB,SIFT,6,500,130,5.721,28.305,95,0.196
ORB,SIFT,7,500,129,6.032,24.784,95,0.149
ORB,SIFT,8,500,127,5.487,25.662,94,0.156
ORB,SIFT,9,500,128,5.487,23.519,94,0.126
,,,,,,,,
AKAZE,BRISK,0,1351,166,61.622,1.313,0,0
AKAZE,BRISK,1,1327,157,37.739,1.245,137,0.224
AKAZE,BRISK,2,1311,161,58.481,1.667,125,0.206
AKAZE,BRISK,3,1351,155,43.302,1.226,129,0.227
AKAZE,BRISK,4,1360,163,33.271,1.278,129,0.225
AKAZE,BRISK,5,1347,164,40.574,1.285,131,0.232
AKAZE,BRISK,6,1363,173,37.991,1.349,132,0.229
AKAZE,BRISK,7,1331,175,45.271,1.362,142,0.272
AKAZE,BRISK,8,1357,177,50.056,1.336,146,0.257
AKAZE,BRISK,9,1331,179,33.729,1.379,144,0.239
,,,,,,,,
AKAZE,BRIEF,0,1351,166,33.317,0.776,0,0
AKAZE,BRIEF,1,1327,157,33.619,1.156,141,0.186
AKAZE,BRIEF,2,1311,161,48.348,0.619,134,0.194
AKAZE,BRIEF,3,1351,155,54.054,2.177,131,0.173
AKAZE,BRIEF,4,1360,163,55.438,0.532,130,0.18
AKAZE,BRIEF,5,1347,164,50.182,0.808,134,0.166
AKAZE,BRIEF,6,1363,173,35.987,0.781,146,0.177
AKAZE,BRIEF,7,1331,175,40.908,0.566,150,0.191
AKAZE,BRIEF,8,1357,177,48.421,0.867,148,0.168
AKAZE,BRIEF,9,1331,179,37.809,0.846,152,0.188
,,,,,,,,
AKAZE,ORB,0,1351,166,34.723,2.383,0,0
AKAZE,ORB,1,1327,157,48.246,2.382,131,0.16
AKAZE,ORB,2,1311,161,37.561,2.472,129,0.161
AKAZE,ORB,3,1351,155,34.632,2.341,127,0.137
AKAZE,ORB,4,1360,163,56.244,2.41,117,0.158
AKAZE,ORB,5,1347,164,38.351,2.466,130,0.153
AKAZE,ORB,6,1363,173,39.623,2.388,131,0.16
AKAZE,ORB,7,1331,175,51.059,2.428,137,0.165
AKAZE,ORB,8,1357,177,32.566,2.389,135,0.165
AKAZE,ORB,9,1331,179,40.686,2.376,145,0.183
,,,,,,,,
AKAZE,FREAK,0,1351,166,49.943,28.089,0,0
AKAZE,FREAK,1,1327,157,39.301,34.091,126,0.195
AKAZE,FREAK,2,1311,161,52.202,35.571,129,0.191
AKAZE,FREAK,3,1351,155,39.523,27.858,127,0.206
AKAZE,FREAK,4,1360,163,34.592,27.349,121,0.246
